"filename", "language", "Dart", "comment", "blank", "total"
"/Users/apple/Documents/clan_churn/lib/components/view_error_report.dart", "Dart", 350, 0, 3, 353
"/Users/apple/Documents/clan_churn/lib/components/wrap_profile.dart", "Dart", 15, 0, 3, 18
"/Users/apple/Documents/clan_churn/lib/main.dart", "Dart", 190, 14, 6, 210
"/Users/apple/Documents/clan_churn/lib/pages/admin_home_page.dart", "Dart", 36, 0, 3, 39
"/Users/apple/Documents/clan_churn/lib/pages/client_projects_view.dart", "Dart", 44, 2, 4, 50
"/Users/apple/Documents/clan_churn/lib/pages/create_client.dart", "Dart", 65, 0, 5, 70
"/Users/apple/Documents/clan_churn/lib/pages/create_new_client.dart", "Dart", 56, 0, 3, 59
"/Users/apple/Documents/clan_churn/lib/pages/create_new_user.dart", "Dart", 77, 0, 6, 83
"/Users/apple/Documents/clan_churn/lib/pages/edit_client_details.dart", "Dart", 8, 0, 2, 10
"/Users/apple/Documents/clan_churn/lib/pages/forgot_password_screen.dart", "Dart", 269, 17, 16, 302
"/Users/apple/Documents/clan_churn/lib/pages/home_page.dart", "Dart", 60, 4, 6, 70
"/Users/apple/Documents/clan_churn/lib/pages/new_project_components.dart", "Dart", 358, 16, 13, 387
"/Users/apple/Documents/clan_churn/lib/pages/project_input_fields_sheet.dart", "Dart", 64, 109, 10, 183
"/Users/apple/Documents/clan_churn/lib/pages/reset_password_link.dart", "Dart", 288, 38, 21, 347
"/Users/apple/Documents/clan_churn/lib/pages/saved_projects.dart", "Dart", 61, 959, 48, 1068
"/Users/apple/Documents/clan_churn/lib/pages/sign_page.dart", "Dart", 350, 90, 9, 449
"/Users/apple/Documents/clan_churn/lib/utils/api_endpoins.dart", "Dart", 40, 12, 8, 60
"/Users/apple/Documents/clan_churn/lib/utils/device_types.dart", "Dart", 147, 26, 13, 186
"/Users/apple/Documents/clan_churn/lib/utils/extensions.dart", "Dart", 12, 0, 3, 15
"/Users/apple/Documents/clan_churn/lib/utils/input_field_strings.dart", "Dart", 20, 49, 6, 75
"/Users/apple/Documents/clan_churn/lib/utils/routes.dart", "Dart", 34, 1, 4, 39
"/Users/apple/Documents/clan_churn/lib/utils/spacing.dart", "Dart", 52, 0, 2, 54
"/Users/apple/Documents/clan_churn/lib/utils/typography.dart", "Dart", 130, 0, 6, 136
"/Users/apple/Documents/clan_churn/lib/utils/validations.dart", "Dart", 86, 0, 9, 95
"Total", "-", 15256, 3694, 1172, 20122
